Madde No;Ana Başlık;Alt Başlık;Eski Metin;Yeni Metin;Durum;AI Analiz
"	1.1";"1 Scope";"General";"-";"-";Değişmedi;"-"
"	4.1";"4 Context of the organization";"Understanding the organization and its context";"-";"-";Değişmedi;"-"
"	4.2";"4 Context of the organization";"Understanding the needs and expectations of interested parties";"-";"-";Değişmedi;"-"
"	4.3";"4 Context of the organization";"Determining the scope of the quality management system";"-";"-";Değişmedi;"-"
"	4.3.1";"4 Context of the organization";"Determining the scope of the quality management system - supplemental";"-";"-";Değişmedi;"-"
"	4.3.2";"4 Context of the organization";"Customer-specific requirements";"-";"-";Değişmedi;"-"
"	4.4";"4 Context of the organization";"Quality Management system and its processes";"-";"-";Değişmedi;"-"
"	4.4.1";"4 Context of the organization";"Quality Management system and its processes";"-";"-";Değişmedi;"-"
"	4.4.1.1";"4 Context of the organization";"Conformance of products and processes";"-";"-";Değişmedi;"-"
"	4.4.1.2";"4 Context of the organization";"Product safety";"-";"-";Değişmedi;"-"
"	4.4.2";"4 Context of the organization";"Quality Management system and its processes";"-";"-";Değişmedi;"-"
"	5.1";"5 Leadership";"Leadership and commitment";"-";"-";Değişmedi;"-"
"	5.1.1";"5 Leadership";"General";"-";"-";Değişmedi;"-"
"	5.1.1.1";"5 Leadership";"Corporate Responsibility";"-";"-";Değişmedi;"-"
"	5.1.1.2";"5 Leadership";"Process effectiveness and efficiency";"-";"-";Değişmedi;"-"
"	5.1.1.3";"5 Leadership";"Process owners";"-";"-";Değişmedi;"-"
"	5.1.2";"5 Leadership";"Customer focus";"-";"-";Değişmedi;"-"
"	5.2";"5 Leadership";"Policy";"-";"-";Değişmedi;"-"
"	5.2.1";"5 Leadership";"Establishing the quality policy";"-";"-";Değişmedi;"-"
"	5.2.2";"5 Leadership";"Communicating the quality policy";"-";"-";Değişmedi;"-"
"	5.3";"5 Leadership";"Organizational roles, responsibilities and authorities";"-";"-";Değişmedi;"-"
"	5.3.1";"5 Leadership";"Organizational roles, responsibilities and authorities - supplemental";"-";"-";Değişmedi;"-"
"	5.3.2";"5 Leadership";"Responsibility and authority for product requirements and corrective actions";"-";"-";Değişmedi;"-"
"	6.1";"6 Planning";"Actions to address risks and opportunities";"-";"-";Değişmedi;"-"
"	6.1.1 and 6.1.2";"6 Planning";"See ISO 9001:2015 requirements";"-";"-";Değişmedi;"-"
"	6.1.2.1";"6 Planning";"Risk analysis";"-";"-";Değişmedi;"-"
"	6.1.2.2";"6 Planning";"Preventive action";"-";"-";Değişmedi;"-"
"	6.1.2.3";"6 Planning";"Contingency plans";"-";"-";Değişmedi;"-"
"	6.2";"6 Planning";"Quality objectives and planning to achieve them";"-";"-";Değişmedi;"-"
"	6.2.1";"6 Planning";"See ISO 9001:2015 requirements";"-";"-";Değişmedi;"-"
"	6.2.2";"6 Planning";"See ISO 9001:2015 requirements";"-";"-";Değişmedi;"-"
"	6.2.2.1";"6 Planning";"Quality objectives and planning to achieve them — supplemental";"-";"-";Değişmedi;"-"
"	6.3";"6 Planning";"Planning of changes";"-";"-";Değişmedi;"-"
"	7.1";"7 Support";"Resources";"-";"-";Değişmedi;"-"
"	7.1.1";"7 Support";"General";"-";"-";Değişmedi;"-"
"	7.1.2";"7 Support";"People";"-";"-";Değişmedi;"-"
"	7.1.3";"7 Support";"Infrastructure";"-";"-";Değişmedi;"-"
"	7.1.3.1";"7 Support";"Plant, facility, and equipment planning";"-";"-";Değişmedi;"-"
"	7.1.4";"7 Support";"Environment for the operation of processes";"-";"-";Değişmedi;"-"
"	7.1.4.1";"7 Support";"Environment for the operation of processes — supplemental";"-";"-";Değişmedi;"-"
"	7.1.5";"7 Support";"Monitoring and measuring resources";"-";"-";Değişmedi;"-"
"	7.1.5.1";"7 Support";"General";"-";"-";Değişmedi;"-"
"	7.1.5.1.1";"7 Support";"Measurement system analysis";"-";"-";Değişmedi;"-"
"	7.1.5.2";"7 Support";"Measurement traceability";"-";"-";Değişmedi;"-"
"	7.1.5.2.1";"7 Support";"Calibration/verification records";"-";"-";Değişmedi;"-"
"	7.1.5.3";"7 Support";"Laboratory requirements";"-";"-";Değişmedi;"-"
"	7.1.5.3.1";"7 Support";"Internal laboratory";"-";"-";Değişmedi;"-"
"	7.1.5.3.2";"7 Support";"External laboratory";"-";"-";Değişmedi;"-"
"	7.1.6";"7 Support";"Organizational knowledge";"-";"-";Değişmedi;"-"
"	7.2";"7 Support";"Competence";"-";"-";Değişmedi;"-"
"	7.2.1";"7 Support";"Competence — supplemental";"-";"-";Değişmedi;"-"
"	7.2.2";"7 Support";"Competence — on-the-job training";"-";"-";Değişmedi;"-"
"	7.2.3";"7 Support";"Internal auditor competency";"-";"-";Değişmedi;"-"
"	7.2.4";"7 Support";"Second-party auditor competency";"-";"-";Değişmedi;"-"
"	7.3";"7 Support";"Awareness";"-";"-";Değişmedi;"-"
"	7.3.1";"7 Support";"Awareness — supplemental";"-";"-";Değişmedi;"-"
"	7.3.2";"7 Support";"Employee motivation and empowerment";"-";"-";Değişmedi;"-"
"	7.4";"7 Support";"Communication";"-";"-";Değişmedi;"-"
"	7.5";"7 Support";"Documented information";"-";"-";Değişmedi;"-"
"	7.5.1";"7 Support";"General";"-";"-";Değişmedi;"-"
"	7.5.1.1";"7 Support";"Quality management system documentation";"-";"-";Değişmedi;"-"
"	7.5.2";"7 Support";"Creating and updating";"-";"-";Değişmedi;"-"
"	7.5.3";"7 Support";"Control of documented information";"-";"-";Değişmedi;"-"
"	7.5.3.1 and 7.5.3.2";"7 Support";"See ISO 9001:2015 requirements";"-";"-";Değişmedi;"-"
"	7.5.3.2.1";"7 Support";"Record retention";"-";"-";Değişmedi;"-"
"	8.1";"8 Operation";"Operational planning and control";"-";"-";Değişmedi;"-"
"	8.1.1";"8 Operation";"Operational planning and control — supplemental";"-";"-";Değişmedi;"-"
"	8.1.2";"8 Operation";"Confidentiality";"-";"-";Değişmedi;"-"
"	8.2";"8 Operation";"Requirements for products and services";"-";"-";Değişmedi;"-"
"	8.2.1";"8 Operation";"Customer communication";"-";"-";Değişmedi;"-"
"	8.2.1.1";"8 Operation";"Customer communication — supplemental";"-";"-";Değişmedi;"-"
"	8.2.2";"8 Operation";"Determining the requirements for products and services";"-";"-";Değişmedi;"-"
"	8.2.2.1";"8 Operation";"Determining the requirements for products and services — supplemental";"-";"-";Değişmedi;"-"
"	8.2.3";"8 Operation";"Review of the requirements for products and services";"-";"-";Değişmedi;"-"
"	8.2.3.1";"8 Operation";"See ISO 9001:2015 requirements";"-";"-";Değişmedi;"-"
"	8.2.3.1.1";"8 Operation";"Review of the requirements for products and services — supplemental";"-";"-";Değişmedi;"-"
"	8.2.3.1.2";"8 Operation";"Customer-designated special characteristics";"-";"-";Değişmedi;"-"
