Madde No;Ana Başlık;Alt Başlık;Eski Metin;Yeni Metin;Durum;AI Analiz
"	1";"Scope";"General";"Copies of this document are available from Ford Motor Company at https://web.qpr.ford.com/sta/Ford_IATF_CSR.pdf or the IATF website at https://www.iatfglobaloversight.org/ .";"Copies of this document are available from Ford Motor Company in the Supplier Quality Hub or the IATF website at https://www.iatfglobaloversight.org/ .";Değişti;"Belgeye erişim adresi güncellenerek doğrudan web bağlantısı yerine 'Supplier Quality Hub' ifadesi getirilmiştir."
"	3.4";"Terms and definitions";"Average Production Weekly (APW)";"Organizations: see the Capacity Planning Web Guide available through https://www.fsp-wlp.ford.com/gtc/docs/capacityplan.pdf";"Organizations: see the Capacity Planning Web Guide available through https://www.fsp.ford.com/api/files/supplier-guides/capacityplan.pdf";Değişti;"Kapasite planlama rehberine ait URL adresi güncellenmiştir."
"	3.5";"Terms and definitions";"Capacity verification";"Organizations: see the Global Phased PPAP Handbook available through https://web.qpr.ford.com/sta/Phased_PPAP_Requirements_Handbook.pdf";"Organizations: see the Global Phased PPAP Handbook available through the Supplier Quality Hub.";Değişti;"Global Phased PPAP El Kitabı için verilen doğrudan URL kaldırılmış ve 'Supplier Quality Hub' referansı eklenmiştir."
"	3.18";"Terms and definitions";"Maximum Production Weekly (MPW)";"Organizations: see the Capacity Planning Web Guide available through https://www.fsp-wlp.ford.com/gtc/docs/capacityplan.pdf";"Organizations: see the Capacity Planning Web Guide available through https://www.fsp.ford.com/api/files/supplier-guides/capacityplan.pdf";Değişti;"MPW tanımındaki kapasite planlama web rehberi bağlantısı güncellenmiştir."
"	3.20";"Terms and definitions";"Must";"Must A mandatory requirement";"Must / Shall A mandatory requirement";Değişti;"Madde başlığına '/ Shall' ibaresi eklenmiştir."
"	4.3";"Context of the organization";"Determining the scope of the quality management system";"To achieve Q1 (refer to https://web.qpr.ford.com/sta/Q1.html), Production and Service Part organizations supplying product to Ford shall be third-party registered to IATF 16949 through an IATF-recognized Certification Body.";"To achieve Q1 (refer to the Supplier Quality Hub), Production and Service Part organizations supplying product to Ford shall be third-party registered to IATF 16949 through an IATF-recognized Certification Body.";Değişti;"Q1 referans bağlantısı kaldırılarak 'Supplier Quality Hub' ifadesi ile değiştirilmiştir."
"	5.1.1.1";"Leadership";"Corporate Responsibility";"Web-Guide https://www.fsp-wlp.ford.com/gtc/docs/hrandwc.pdf. The organization is also";"Web-Guide https://www.fsp.ford.com/api/files/supplier-guides/hrandwc.pdf. The organization is also";Değişti;"Çalışma koşulları ve insan hakları rehberinin URL bağlantısı güncellenmiştir."
"	8.1";"Operation";"Operational planning and control - APQP";"The External Supplier APQP/PPAP Readiness Assessment (Schedule A) is available through https://web.qpr.ford.com/sta/APQP.html The organization shall submit completed Schedule A’s as specified in the Schedule A notification letter for each program (monthly and after any significant change in APQP status). This applies to priority and non-priority suppliers, see Supplier Engagement Process on https://web.qpr.ford.com/sta/GPDSSupplierEngagement.html | If prototype parts are not fully compliant to specification, Ford PD Engineering can approve use of the part with a WERS Alert. The organization should use the APQP/PPAP Evidence Workbook to record prototype part data for Ford PD review. The APQP/PPAP Evidence Workbook is available through https://web.qpr.ford.com/sta/APQP.html .";"The External Supplier APQP/PPAP Readiness Assessment (Schedule A) is available through eAPQP. Additional APQP resources are available through the Supplier Quality Hub. The organization shall submit completed Schedule A’s as specified in the Schedule A notification letter for each program (monthly and after any significant change in APQP status). This applies to priority and non-priority suppliers, see GPDS Supplier Engagement Process on the Supplier Quality Hub. | If prototype parts are not fully compliant to specification, Ford PD Engineering can approve use of the part with a WERS Alert or JIRA deviation for applicable programs. The organization should use the APQP/PPAP Evidence Workbook to record prototype part data for Ford PD review. The APQP/PPAP Evidence Workbook is available through the Supplier Quality Hub.";Değişti;"1. Schedule A için doğrudan web bağlantısı yerine eAPQP referansı getirilmiş, tedarikçi katılım süreci bağlantısı 'Supplier Quality Hub' olarak güncellenmiştir. 2. Prototip onaylarında WERS Alert'e ek olarak JIRA sapması (deviation) seçeneği eklenmiş ve Evidence Workbook için 'Supplier Quality Hub' referansı verilmiştir."
"	8.2.1";"Requirements for products and services";"Customer communication";"After part approval, the organization shall use the SREA (Supplier Request for Engineering Approval) process to submit approval requests for organization-initiated process change proposals. Refer to https://web.qpr.ford.com/sta/SREA.html";"After part approval, the organization shall use the SREA (Supplier Request for Engineering Approval) process to submit approval requests for organization-initiated process change proposals. Additional SREA resources and links are available on the Supplier Quality Hub.";Değişti;"SREA bağlantısı kaldırılarak 'Supplier Quality Hub' yönlendirmesi eklenmiştir."
"	8.2.3.1.3";"Requirements for products and services";"Organization manufacturing feasibility";"Manufacturing feasibility reviews for updated or new manufacturing processes or capacity increases requiring tooling or equipment shall be documented as specified on the Manufacturing Feasibility form (both initial feasibility and final feasibility) https://web.qpr.ford.com/sta/Feasibility_Form.xlsx, per the timing specified on https://web.qpr.ford.com/sta/APQP.html and shall include all appropriate organization and Ford organizations.";"Manufacturing feasibility reviews for updated or new manufacturing processes or capacity increases requiring tooling or equipment shall be documented as specified on the Manufacturing Feasibility form (both initial feasibility and final feasibility) and shall include all appropriate organization and Ford organizations.";Değişti;"Üretim fizibilitesi formuna ve APQP sayfasına ait URL bağlantıları metinden çıkarılmıştır."
"	8.3.2.1";"Design and development of products and services";"Design and development planning — supplemental";"FMEAs and Controls Plans shall ensure that the manufacturing process complies with Critical to Quality process requirements as specified in the Supplier Manufacturing Health Charts located at https://web.qpr.ford.com/sta/Supplier_Manufacturing_Health_Charts.html . Acceptance required for Inverted Delta parts Process FMEA(s) and Control plan(s) for inverted delta component(s) require Ford Engineering & STA acceptance. For all parts where the organization is Design Responsible Design FMEA(s) prepared by design responsible organizations requires Ford Engineering acceptance. Acceptance of revisions to these documents after initial acceptance per the above is also required. | The organization should obtain STA review and concurrence prior to use of family process FMEAs. Suppliers shall use FMEA software which ensures the alignment of the Foundation FMEA, Part FMEA, control plan and other applicable documents.";"FMEAs and Controls Plans shall ensure that the manufacturing process complies with Critical to Quality process requirements as specified in the Supplier Manufacturing Health Charts located in the Industry Standards Section of the Supplier Quality Hub. Approval required for FMEAs and Control Plans All Process FMEA(s) and Control Plan(s), regardless of PPAP Submission level, require approval by Ford Product Development Engineering. For PPAP submission levels 3 and 5, or Safety and regulatory (inverted delta) component(s), Ford STA approval is also required. For all parts where the organization is Design Responsible Design FMEA(s) prepared by design responsible organizations requires Ford Engineering approval. Approval of revisions to these documents after initial approval per the above is also required. | The organization shall obtain STA approval prior to use of family process FMEAs. All Process FMEA(s), regardless of PPAP Submission level, require approval by Ford Product Development Engineering. For PPAP submission levels 3 and 5, or Safety and regulatory (inverted delta) component(s), Ford STA approval is also required Suppliers shall use FMEA software which ensures the alignment of the Foundation FMEA, Part FMEA, control plan and other applicable documents. For organizations that supply bulk materials according to AIAG or as characterized in Ford Supplier Improvement Metrics (SIM), the organization is exempt from the FMEA Software requirement.";Değişti;"1. Sağlık tabloları bağlantısı güncellenmiş; FMEA ve Kontrol Planları için 'acceptance' (kabul) ifadeleri 'approval' (onay) olarak değiştirilmiş ve tüm PPAP seviyeleri için onay kuralları detaylandırılmıştır. 2. Aile FMEA'ları için STA 'görüşü' zorunluluğu 'onayı'na dönüştürülmüş ve dökme malzeme tedarikçileri için FMEA yazılım zorunluluğuna muafiyet getirilmiştir."
"	8.3.4.4";"Design and development of products and services";"Product approval process";"For production parts and approval of components from sub-tier suppliers, the organization shall comply with the AIAG Production Part Approval Process (PPAP) manual and Ford’s Global Phased PPAP available through https://web.qpr.ford.com/sta/Phased_PPAP.html . Additional requirements are specified in Q1 https://web.qpr.ford.com/sta/Q1.html. Per PPAP, the organization shall submit via WERS all organization-initiated design change proposals, unless the organization or sub-tier supplier does not have access to WERS. STA will not grant full PPAP approval by if the part or manufacturing process is under WERS Alert, per exception management process. See https://web.qpr.ford.com/sta/Phased_PPAP.html";"For production parts and approval of components from sub-tier suppliers, the organization shall comply with the AIAG Production Part Approval Process (PPAP) manual and Ford’s Global Phased PPAP available through the Supplier Quality Hub. Per Ford requirements, where Part Submission Warrant (PSW) is referenced, electronic PSW (ePSW) is the default Production warrant submission process. Exceptions to the ePSW process that may require use of the paper PSW submission include SREA, Directed Tier 2, Capacity Uplift, and Bulk material related PPAPs. See Phased PPAP Handbook available through the Supplier Quality Hub for PPAP level and PSW submission requirements. Per PPAP, the organization shall submit a deviation via WERS or Jira for all organization-initiated design change proposals, unless the organization or sub-tier supplier does not have access to WERS or Jira. STA will not grant full PPAP approval by if the part or manufacturing process is under WERS Alert or Jira Deviation, per exception management process. See PPAP section of the Supplier Quality Hub.";Değişti;"PPAP süreçlerinde elektronik PSW (ePSW) varsayılan yöntem olarak getirilmiş, WERS yanında Jira entegrasyonu eklenmiş ve tüm web bağlantıları 'Supplier Quality Hub' çatısı altında toplanmıştır."
"	8.4.2.3";"Control of externally provided processes, products and services";"Supplier quality management system development";"The organization may meet this requirement by successful assessments of the Sub-tier suppliers per the authorization stated on https://web.qpr.ford.com/sta/.";"The organization may meet this requirement by successful assessments of the Sub-tier suppliers per the authorization, available in the Supplier Quality Hub.";Değişti;"Alt seviye tedarikçi değerlendirme yetkilendirme bağlantısı 'Supplier Quality Hub' olarak güncellenmiştir."
